Kolom 1,Kolom 2,Kolom 3,Kolom 4,Kolom 5,Kolom 6
Daftar Tabel,,,,,
table,jenis,keterangan,,,
agama,Ref,Agama,,,
ajar_dosen,Data,Dosen Mengajar,,,
,,,,,
bentuk_pendidikan,Ref,Bentuk Pendidikan,,,
bobot_nilai,Data,Bobot Nilai,,,
daya_tampung,Data,Kapasitas mahasiswa baru,,,
dosen,Data,Data dosen nasional. Tidak boleh menambah dan menghapus. Hanya dari Forlap,,,
dosen_pembimbing,Data,Dosen Pembimbing,,,
dosen_pt,Data,Dosen perguruan tinggi. Penambahan dan Perubahan data hanya dari Forlap,,,
ikatan_kerja_dosen,Ref,Ikatan Kerja Dosen,,,
jabfung,Ref,Jabatan Fungsional,,,
jalur_masuk,Ref,Jalur Masuk,,,
jenis_evaluasi,Ref,Jenis Evaluasi,,,
jenis_keluar,Ref,Jenis Keluar,,,
jenis_pendaftaran,Ref,Jenis Pendaftaran Mahasiswa,,,
jenis_sert,Ref,Jenis Sertifikasi,,,
jenis_sms,Ref,Jenis Program Studi,,,
jenis_subst,Ref,Jenis Substansi,,,
jenis_tinggal,Ref,Jenis Tinggal,,,
jenjang_pendidikan,Ref,Jejang Pendidikan,,,
jurusan,Ref,Jurusan,,,
kebutuhan_khusus,Ref,Kebutuhan Khusus,,,
kelas_kuliah,Data,"Kelas Perkuliahan. Menyimpan jadwal perkuliahan yang di buka, dosen pengajar, serta peserta kelas / KRS mahasiswa setiap periode",,,
kuliah_mahasiswa,Data,Aktivitas perkuliahan mahasiswa,,,
kurikulum,Data,Kurikulum per prodi,,,
lembaga_pengangkat,Ref,Lembaga Pengangkat,,,
level_wilayah,Ref,Level Wilayah,,,
mahasiswa,Data,Data mahasiswa nasional,,,
mahasiswa_pt,Data,Mahasiswa perguruan tinggi,,,
mata_kuliah,Data,Mata kuliah per program studi,,,
mata_kuliah_kurikulum,Data,Mata kuliah per kurikulum,,,
negara,Ref,Negara,,,
nilai,Data,Nilai mahasiswa per kelas per periode,,,
nilai_transfer,Data,Nilai Transfer,,,
pangkat_golongan,Ref,Pangkat Golongan,,,
pekerjaan,Ref,Pekerjaan,,,
penghasilan,Ref,Penghasilan,,,
satuan_pendidikan,Data,Perguruan Tinggi. Perubahan data hanya dari Forlap,,,
semester,Ref,Semester,,,
sms,Data,Program Studi. Perubahan data hanya dari Forlap,,,
status_keaktifan_pegawai,Ref,Status Keaktifan Pegawai,,,
status_kepegawaian,Ref,Status Kepegawaian,,,
status_mahasiswa,Ref,Status Mahasiswa,,,
substansi_kuliah,Data,Substansi kuliah,,,
tahun_ajaran,Ref,Tahun Ajaran,,,
wilayah,Ref,Wilayah,,,
Terdapat 45 baris,,,,,
,,,,,
Deskripsi Tabel agama,,,,,
column_name,pk,type,not_null,desc,
id_agama,1,smallint,1,"Primary Key, kosongkan ketika mode Tambah",
nm_agama,,character varying(50),1,Nama Agama,
Terdapat 2 baris,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Deskripsi Tabel bentuk_pendidikan,,,,,
column_name,pk,type,not_null,desc,
id_bp,1,smallint,1,,
nm_bp,,character varying(50),1,,
a_jenj_paud,,"numeric(1,0)",1,,
a_jenj_tk,,"numeric(1,0)",1,,
a_jenj_sd,,"numeric(1,0)",1,,
a_jenj_smp,,"numeric(1,0)",1,,
a_jenj_sma,,"numeric(1,0)",1,,
a_jenj_tinggi,,"numeric(1,0)",1,,
dir_bina,,character varying(40),,,
a_aktif,,"numeric(1,0)",1,,
Terdapat 10 baris,,,,,
Deskripsi Tabel ikatan_kerja_dosen,,,,,
Terdapat 0 baris,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Deskripsi Tabel jabfung,,,,,
column_name,pk,type,not_null,desc,
id_jabfung,1,"numeric(2,0)",1,,
id_kel_prof,,"numeric(5,0)",1,,
nm_jabfung,,character varying(50),1,,
angka_kredit,,"numeric(7,2)",,,
Terdapat 4 baris,,,,,
Deskripsi Tabel jalur_masuk,,,,,
column_name,pk,type,not_null,desc,
id_jalur_masuk,1,"numeric(4,0)",1,Web Service: GetRecordset:jalur_masuk,
id_jenj_didik,,"numeric(2,0)",,"Primary Key, kosongkan ketika mode Tambah",
nm_jalur_masuk,,character varying(60),1,,
ket_jalur_masuk,,character varying(200),,,
Terdapat 4 baris,,,,,
Deskripsi Tabel jenis_evaluasi,,,,,
column_name,pk,type,not_null,desc,
id_jns_eval,1,smallint,1,,
nm_jns_eval,,character varying(50),1,,
ket_jns_eval,,character varying(100),,,
Terdapat 3 baris,,,,,
Deskripsi Tabel jenis_keluar,,,,,
column_name,pk,type,not_null,desc,
id_jns_keluar,1,character(1),1,"Primary Key, kosongkan ketika mode Tambah",
ket_keluar,,character varying(40),1,,
a_pd,,"numeric(1,0)",1,,
a_ptk,,"numeric(1,0)",1,,
a_sdm_iptek,,"numeric(1,0)",1,,
Terdapat 5 baris,,,,,
Deskripsi Tabel jenis_pendaftaran,,,,,
column_name,pk,type,not_null,desc,
id_jns_daftar,1,"numeric(2,0)",1,"Primary Key, kosongkan ketika mode Tambah",
nm_jns_daftar,,character varying(50),1,,
u_daftar_sekolah,,"numeric(1,0)",1,,
u_daftar_rombel,,"numeric(1,0)",1,,
Terdapat 4 baris,,,,,
,,,,,
Deskripsi Tabel jenis_sert,,,,,
column_name,pk,type,not_null,desc,
id_jns_sert,1,"numeric(3,0)",1,,
id_kk,,integer,1,"Primary Key, kosongkan ketika mode Tambah",
nm_jns_sert,,character varying(50),1,,
u_prof_guru,,"numeric(1,0)",1,,
u_kepsek,,"numeric(1,0)",1,,
u_laboran,,"numeric(1,0)",1,,
u_prof_dosen,,"numeric(1,0)",1,,
Terdapat 7 baris,,,,,
Deskripsi Tabel jenis_sms,,,,,
column_name,pk,type,not_null,desc,
id_jns_sms,1,"numeric(2,0)",1,,
nm_jns_sms,,character varying(50),1,,
Terdapat 2 baris,,,,,
Deskripsi Tabel jenis_subst,,,,,
column_name,pk,type,not_null,desc,
id_jns_subst,1,character(5),1,,
nm_jns_subst,,character varying(50),1,,
Terdapat 2 baris,,,,,
Deskripsi Tabel jenis_tinggal,,,,,
column_name,pk,type,not_null,desc,
id_jns_tinggal,1,"numeric(2,0)",1,"Primary Key, kosongkan ketika mode Tambah",
nm_jns_tinggal,,character varying(50),1,,
Terdapat 2 baris,,,,,
Deskripsi Tabel jenjang_pendidikan,,,,,
column_name,pk,type,not_null,desc,
id_jenj_didik,1,"numeric(2,0)",1,"Primary Key, kosongkan ketika mode Tambah",
nm_jenj_didik,,character varying(50),1,,
u_jenj_lemb,,"numeric(1,0)",1,,
u_jenj_org,,"numeric(1,0)",1,,
Terdapat 4 baris,,,,,
Deskripsi Tabel jurusan,,,,,
column_name,pk,type,not_null,desc,
id_induk_jurusan,,character varying(25),,,
id_jenj_didik,,"numeric(2,0)",1,"Primary Key, kosongkan ketika mode Tambah",
id_jur,1,character varying(25),1,,
id_kel_bidang,,uuid,1,,
nm_intl_jur,,character varying(100),,,
nm_jur,,character varying(100),1,,
u_pt,,"numeric(1,0)",1,,
u_slb,,"numeric(1,0)",1,,
u_sma,,"numeric(1,0)",1,,
u_smk,,"numeric(1,0)",1,,
Terdapat 10 baris,,,,,
Deskripsi Tabel kebutuhan_khusus,,,,,
column_name,pk,type,not_null,desc,
id_kk,1,integer,1,"Primary Key, kosongkan ketika mode Tambah",
nm_kk,,character varying(50),1,,
a_kk_a,,"numeric(1,0)",1,,
a_kk_b,,"numeric(1,0)",1,,
a_kk_c,,"numeric(1,0)",1,,
a_kk_c1,,"numeric(1,0)",1,,
a_kk_d,,"numeric(1,0)",1,,
a_kk_d1,,"numeric(1,0)",1,,
a_kk_e,,"numeric(1,0)",1,,
a_kk_f,,"numeric(1,0)",1,,
a_kk_h,,"numeric(1,0)",1,,
a_kk_i,,"numeric(1,0)",1,,
a_kk_j,,"numeric(1,0)",1,,
a_kk_k,,"numeric(1,0)",1,,
a_kk_n,,"numeric(1,0)",1,,
a_kk_o,,"numeric(1,0)",1,,
a_kk_p,,"numeric(1,0)",1,,
